"1k-blocks","filesystem","date","hour","mean_usage"
154696528,"/dev/sdb",2018-09-11 07:00:00,7,9.73682743239476
154696528,"/dev/sdb",2018-09-11 08:00:00,8,10
154696528,"/dev/sdb",2018-09-11 09:00:00,9,10
154696528,"/dev/sdb",2018-09-11 10:00:00,10,10
154696528,"/dev/sdb",2018-09-11 11:00:00,11,10
154696528,"/dev/sdb",2018-09-11 12:00:00,12,10
154696528,"/dev/sdb",2018-09-11 13:00:00,13,10
154696528,"/dev/sdb",2018-09-11 14:00:00,14,10.7167549484249
154696528,"/dev/sdb",2018-09-11 15:00:00,15,11
154696528,"/dev/sdb",2018-09-11 16:00:00,16,11
154696528,"/dev/sdb",2018-09-11 17:00:00,17,11
154696528,"/dev/sdb",2018-09-11 18:00:00,18,11
154696528,"/dev/sdb",2018-09-11 19:00:00,19,11
154696528,"/dev/sdb",2018-09-11 20:00:00,20,11
154696528,"/dev/sdb",2018-09-11 21:00:00,21,11.5899080011151
154696528,"/dev/sdb",2018-09-11 22:00:00,22,8.23368655883993
154696528,"/dev/sdb",2018-09-11 23:00:00,23,8.99609592861127
154696528,"/dev/sdb",2018-09-12 00:00:00,0,9
154696528,"/dev/sdb",2018-09-12 01:00:00,1,9
154696528,"/dev/sdb",2018-09-12 02:00:00,2,9
154696528,"/dev/sdb",2018-09-12 03:00:00,3,9
154696528,"/dev/sdb",2018-09-12 04:00:00,4,9
154696528,"/dev/sdb",2018-09-12 05:00:00,5,9.00585447449122
154696528,"/dev/sdb",2018-09-12 06:00:00,6,9.85666480758505
154696528,"/dev/sdb",2018-09-12 07:00:00,7,10
154696528,"/dev/sdb",2018-09-12 08:00:00,8,10
154696528,"/dev/sdb",2018-09-12 09:00:00,9,10
154696528,"/dev/sdb",2018-09-12 10:00:00,10,10
154696528,"/dev/sdb",2018-09-12 11:00:00,11,10
154696528,"/dev/sdb",2018-09-12 12:00:00,12,10
154696528,"/dev/sdb",2018-09-12 13:00:00,13,10
154696528,"/dev/sdb",2018-09-12 16:00:00,16,11.3016759776536
154696528,"/dev/sdb",2018-09-12 17:00:00,17,11.3029022259791
154696528,"/dev/sdb",2018-09-12 18:00:00,18,11.6170512099043
